gu,sum,recent_increas,population,korean,foreign,oldpeople,foreignrate,oldpeopleforeign
gangnam,3238,150.61919504643964,570500,565550,4950,63167,0.8676599474145487,11.07221735319895
gangdong,1010,166.49076517150397,453233,449019,4214,54622,0.9297646023127176,12.051637899270354
gangbuk,831,125.20325203252033,330192,326686,3506,54813,1.0618064641178466,16.600341619421428
gangseo,911,134.7938144329897,603772,597248,6524,72548,1.080540336418383,12.015794041459358
gwanak,2109,149.29078014184398,525515,507203,18312,68082,3.4845817911953034,12.955291475980705
gwangjin,878,53.22862129144852,372164,357211,14953,42214,4.017852344665255,11.34284885158156
guro,1884,64.97373029772329,447874,416487,31387,56833,7.007997785091343,12.68950642368166
geumcheon,1348,100.0,255082,236353,18729,32970,7.342344814608635,12.925255408064857
nowon,1566,188.929889298893,569384,565565,3819,71941,0.6707248535259157,12.634882609978504
dobong,825,246.6386554621849,348646,346629,2017,51312,0.5785237748317777,14.717507156255916
dongdaemun,1870,74.76635514018692,369496,354079,15417,54173,4.172440297053283,14.661322450040052
dongjak,1302,139.33823529411765,412520,400456,12064,56013,2.924464268399108,13.578250751478716
mapo,980,212.1019108280255,389649,378566,11083,48765,2.844354791106868,12.515109752623516
seodaemun,1254,48.5781990521327,327163,314982,12181,48161,3.723220535329484,14.720796667104777
seocho,2297,63.37126600284495,450310,445994,4316,51733,0.9584508449734628,11.488308054451378
seongdong,1327,81.78082191780823,311244,303380,7864,39997,2.5266350515993885,12.850689491203044
seongbuk,1651,63.62735381565907,461260,449773,11487,64692,2.490352512682652,14.025061787278323
songpa,1081,104.34782608695652,667483,660584,6899,72506,1.0335843759316716,10.862598747833278
yangcheon,2482,34.67173087357569,479978,475949,4029,52975,0.8394134731175179,11.036964194192231
yeongdeungpo,1277,157.97979797979798,402985,368072,34913,52413,8.663597900666279,13.006191297442832
yongsan,2096,53.216374269005854,244203,229456,14747,36231,6.038828351822049,14.836427070920504
eunpyeong,2108,85.23725834797891,494388,489943,4445,72334,0.899091401894868,14.631018552230232
jongno,1619,248.92241379310343,162820,153589,9231,25425,5.669450927404496,15.61540351308193
jung,1023,147.6997578692494,133240,124312,8928,20764,6.700690483338337,15.583908736115282
Jungnang,916,79.96070726915521,414503,409882,4621,56774,1.114829084469835,13.696885185390698
